rhat_len_docs,mean_jaccard,mean_ratio,rhat_threshold,converged,iteration,timestamp
2.525847778326421,"[0.9532161564862724, 0.9536528140618608, 0.9363107144313446]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,55,1755250656.0532863
3.790874520859641,"[0.9529246612216806, 0.9514537788704693, 0.9391294804213486]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,75,1755251068.493929
3.969162912245447,"[0.9556689737619566, 0.9536468169979783, 0.9356348215740014]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,95,1755251495.9568613
5.135984464585076,"[0.9540687506434754, 0.9610467726229913, 0.9361630284742388]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,115,1755251918.4446845
2.691647882479506,"[0.9495486754148009, 0.9554215669508099, 0.9430496972493951]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,135,1755252350.9407036
3.4114512230374947,"[0.9536030305350541, 0.9550549964691137, 0.9439044991942372]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,155,1755252773.4266071
3.1004724399152606,"[0.9598820277228521, 0.9543603961142904, 0.9476844135412199]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,175,1755253205.948767
2.6318215830304332,"[0.9526629293116484, 0.9521101374255508, 0.9456563666097921]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,195,1755253653.485904
1.5222739794962734,"[0.9559741870989331, 0.9573915247665372, 0.9492114065933978]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,215,1755254096.028764
1.7976605663853082,"[0.960416323650281, 0.9553210957080844, 0.9472207687478056]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,235,1755254538.560912
1.7127381494763283,"[0.9594902070805362, 0.9561130730944116, 0.9562260027738032]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,255,1755254986.103631
2.235945584003573,"[0.9624790544701778, 0.9505997255041558, 0.9522327590271098]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,275,1755255438.6640606
1.2611262386214728,"[0.9575592058924508, 0.9549706229903604, 0.9579897415305977]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,295,1755255881.2455342
1.23330316734129,"[0.9560647636504782, 0.9580856893526407, 0.952750478156212]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,315,1755256318.8281336
1.0519571638861818,"[0.9612699964920216, 0.9576486410014995, 0.9557109123652149]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,True,335,1755256756.4323976
