node_id,alpha,eta,gamma,depth,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,0.5,0.05,0.05,3,0,970,5,"model, method, use, material, propose",5,-0.009965338949301725,0.49937489859630235,-0.7125585280638077,275
1,0.5,0.05,0.05,3,1,594,5,"method, element, problem, propose, numerical",5,0.0296586318220027,0.5239495260533786,-0.5893987292577456,275
2,0.5,0.05,0.05,3,2,36,5,"macroscopic, scale, composite, homogenization, multiscale",5,0.12839242887249785,0.7858081342357065,-1.4802401572028347,275
25,0.5,0.05,0.05,3,1,25,5,"fracture, crack, phasefield, strain, failure",5,0.13408610713329205,0.8471050498909138,-1.3235771395988014,275
39,0.5,0.05,0.05,3,2,12,5,"contact, body, interaction, formulation, rigid",5,0.18879889998650803,0.5870431708571269,-1.9028707872934423,275
81,0.5,0.05,0.05,3,2,6,5,"shell, surface, outofplane, mesoscopic, thickness",5,-0.13979728363187957,0.45529337848175755,-10.885254397016746,275
87,0.5,0.05,0.05,3,1,9,5,"gradient, plastic, slip, single, dislocation",5,0.09302849818138977,0.5132684692084653,-2.536274453933575,275
93,0.5,0.05,0.05,3,2,8,5,"contact, surface, solution, adhesive, rough",5,0.2018630558951806,0.7333312889887282,-2.416936127253506,275
114,0.5,0.05,0.05,3,1,17,5,"method, flow, computation, computational, discretization",5,0.05639327603762484,0.5510216156858359,-1.4724434327822373,275
116,0.5,0.05,0.05,3,2,9,5,"model, covid, disease, dynamic, new",5,0.17182430664126047,0.6330812510349444,-1.5851689302656948,275
152,0.5,0.05,0.05,3,1,35,5,"process, manufacturing, additive, residual, predict",5,0.3187094764673316,0.8124062298986654,-1.4606110038862548,275
155,0.5,0.05,0.05,3,1,17,5,"phasefield, fracture, parameter, length, crack",5,0.14356415229791256,0.70088836334542,-1.4749100788349505,275
166,0.5,0.05,0.05,3,1,16,5,"system, provide, energy, framework, develop",5,0.015530163104739921,0.4711755157072278,-1.4308335426930197,275
171,0.5,0.05,0.05,3,1,10,5,"inversion, highfidelity, ensemble, measurement, two",5,-0.11894296995469578,0.4350999963063568,-4.154800259743508,275
210,0.5,0.05,0.05,3,2,7,5,"anisotropic, crack, fracture, energy, anisotropy",5,0.13933656060916003,0.7145573104900043,-2.102654711202587,275
249,0.5,0.05,0.05,3,1,11,5,"network, method, deep, train, neural",5,0.2772009102829356,0.7959383221246561,-1.8118103829843197,275
256,0.5,0.05,0.05,3,1,13,5,"et, al, fold, j, int",5,0.20613672816039846,0.7715717573919765,-1.4643254999691793,275
265,0.5,0.05,0.05,3,1,13,5,"simulation, highly, distribution, infection, spread",5,-0.01348980160225392,0.6360969020267537,-3.125344410763881,275
306,0.5,0.05,0.05,3,1,12,5,"adhesive, fatigue, fibre, composite, calibrate",5,-0.1560850970456151,0.41600427316099975,-8.327313372668073,275
308,0.5,0.05,0.05,3,1,9,5,"method, turbine, structural, analysis, blade",5,0.08608120758455252,0.5810551379686488,-2.463931448750407,275
310,0.5,0.05,0.05,3,2,8,5,"flow, fluid, simulation, framework, formulation",5,0.04701848406077706,0.4704352666750415,-1.1774799998099679,275
329,0.5,0.05,0.05,3,2,7,5,"problem, virtual, element, elasticity, incompressible",5,0.0850498869247202,0.5326363575986935,-2.268824397496298,275
375,0.5,0.05,0.05,3,2,7,5,"reduction, order, reduce, parameterized, snapshot",5,0.1410979652012325,0.5088367476037605,-4.787387803560076,275
451,0.5,0.05,0.05,3,2,10,5,"stress, shell, plate, crack, equation",5,-0.00025011126974172,0.3869741060467541,-1.9289454718454686,275
473,0.5,0.05,0.05,3,2,10,5,"rotation, element, displacement, shell, lagrange",5,0.14268439860175666,0.5731182250234105,-1.8250834255039137,275
501,0.5,0.05,0.05,3,1,11,5,"adopt, article, original, publish, equation",5,-0.03308515658979475,0.5950420885198738,-2.255644831176904,275
607,0.5,0.05,0.05,3,1,11,5,"standard, gradient, formulation, accuracy, inverse",5,-0.014125468611218505,0.3969432375838604,-2.221419271535995,275
721,0.5,0.05,0.05,3,2,11,5,"element, comput, mech, part, et",5,0.2208437323107792,0.5826616705568533,-1.9359753153633292,275
730,0.5,0.05,0.05,3,2,5,5,"mesh, element, cisamr, structure, conform",5,0.1814717704443944,0.6398419673028262,-2.087689071154346,275
733,0.5,0.05,0.05,3,2,8,5,"cluster, interaction, vfm, comput, et",5,-0.15337668236762397,0.3892094543573382,-10.405873452245066,275
756,0.5,0.05,0.05,3,2,10,5,"model, peridynamic, crack, nonlocal, continuum",5,0.08749841602270095,0.8235736433001509,-1.8451800818184885,275
917,0.5,0.05,0.05,3,2,7,5,"datadriven, material, data, order, meshfree",5,-0.0987991060609543,0.4571728015542981,-4.204150663294931,275
1021,0.5,0.05,0.05,3,2,5,5,"contact, isogeometric, formulation, mortar, body",5,0.04097308798101615,0.35376315212606996,-2.4179979081316816,275
1099,0.5,0.05,0.05,3,2,9,5,"contact, time, thermal, formulation, explicit",5,0.04605526570620363,0.46024458913258587,-2.0506843281593365,275
1108,0.5,0.05,0.05,3,1,27,5,"sph, particle, flow, surface, numerical",5,0.09216766214932057,0.5730864206468613,-0.843820810849597,275
1146,0.5,0.05,0.05,3,2,5,5,"identification, structural, response, input, modal",5,0.1321502259181861,0.6060187423483344,-2.4127600401847364,275
1196,0.5,0.05,0.05,3,2,5,5,"pd, crack, xfem, fracture, fem",5,0.16800238300038212,0.6148414734439628,-1.7952105596394516,275
1246,0.5,0.05,0.05,3,2,8,5,"uncertainty, model, bayesian, prediction, error",5,0.17232417681019777,0.5935583193734613,-1.8522050195121587,275
1401,0.5,0.05,0.05,3,2,10,5,"fractional, equation, differential, tire, derivative",5,-0.022444319606620695,0.5037322802351468,-8.49117165745172,275
1570,0.5,0.05,0.05,3,1,11,5,"time, growth, different, scale, biofilm",5,0.02123552720793409,0.4906534692703196,-5.061587139310812,275
1675,0.5,0.05,0.05,3,2,12,5,"crack, phase, field, fracture, propagation",5,0.1772406219244957,0.7573063923889852,-1.3984191039352756,275
1690,0.5,0.05,0.05,3,2,12,5,"formulation, strain, lock, shell, element",5,0.11146493822342825,0.6685481227239779,-1.2684632711809505,275
1710,0.5,0.05,0.05,3,2,7,5,"crack, size, track, sve, without",5,0.09192607312046165,0.44864775609774804,-4.63152184230424,275
1812,0.5,0.05,0.05,3,1,4,5,"design, train, drag, optimal, shape",5,0.20645285888629616,0.5427465118284875,-2.3417411923884073,275
1938,0.5,0.05,0.05,3,2,12,5,"crack, mesh, shell, tip, stabilizer",5,0.0020361758115092776,0.2794542957342691,-7.333996022882805,275
1982,0.5,0.05,0.05,3,2,10,5,"fiber, volume, distribution, algorithm, fraction",5,0.21398892052635232,0.6483646149308748,-1.8180792050316186,275
2196,0.5,0.05,0.05,3,1,10,5,"interaction, pd, robust, kinematics, continuum",5,-0.02114505570725154,0.46652792275162885,-2.762458662939169,275
