iteration,leaf_node_id,document_count,documents_in_path,path_created_this_iteration,layer_0_node_id,layer_1_node_id,layer_2_node_id
0,2,19,"[7, 81, 106, 107, 252, 278, 348, 381, 420, 469, 475, 491, 566, 656, 827, 851, 892, 908, 945]",False,0,1,2
0,3,118,"[12, 19, 28, 31, 35, 41, 42, 50, 57, 69, 75, 77, 82, 95, 97, 108, 128, 130, 133, 135, 144, 155, 161, 175, 176, 190, 194, 216, 238, 244, 246, 263, 280, 284, 287, 299, 300, 305, 316, 317, 326, 334, 340, 344, 345, 351, 352, 361, 368, 375, 376, 379, 382, 386, 388, 391, 400, 406, 409, 419, 421, 423, 427, 432, 433, 436, 440, 453, 483, 518, 523, 525, 527, 541, 556, 569, 574, 576, 580, 595, 608, 620, 622, 623, 626, 632, 641, 666, 675, 707, 709, 723, 729, 730, 753, 754, 758, 774, 776, 784, 800, 804, 813, 814, 815, 826, 853, 894, 901, 907, 911, 915, 916, 919, 922, 936, 954, 955]",False,0,1,3
0,4,8,"[163, 264, 332, 473, 601, 612, 906, 964]",False,0,1,4
0,10,13,"[0, 182, 188, 198, 377, 467, 513, 603, 703, 718, 788, 812, 937]",False,0,1,10
0,29,14,"[308, 309, 441, 494, 636, 644, 647, 648, 650, 658, 667, 719, 744, 864]",False,0,1,29
0,39,15,"[115, 124, 261, 347, 430, 461, 468, 553, 652, 661, 701, 726, 764, 821, 940]",False,0,1,39
0,45,5,"[104, 500, 561, 618, 934]",False,0,1,45
0,50,7,"[11, 237, 242, 321, 331, 372, 895]",False,0,1,50
0,68,6,"[76, 564, 819, 893, 942, 961]",False,0,62,68
0,75,14,"[5, 29, 83, 158, 181, 196, 200, 202, 279, 285, 471, 809, 838, 868]",False,0,1,75
0,76,7,"[20, 266, 353, 367, 876, 883, 903]",False,0,1,76
0,125,8,"[32, 49, 157, 254, 397, 435, 624, 912]",False,0,1,125
0,148,7,"[52, 74, 117, 118, 394, 806, 891]",False,0,1,148
0,168,14,"[36, 143, 151, 239, 529, 536, 609, 665, 687, 792, 896, 939, 966, 969]",False,0,1,168
0,174,9,"[44, 217, 336, 383, 431, 478, 655, 739, 886]",False,0,1,174
0,178,6,"[342, 387, 501, 617, 657, 693]",False,0,1,178
0,181,6,"[208, 310, 410, 486, 686, 859]",False,0,1,181
0,183,13,"[38, 102, 166, 472, 597, 607, 633, 649, 750, 752, 817, 825, 890]",False,0,1,183
0,197,9,"[26, 80, 178, 454, 663, 725, 738, 794, 948]",False,0,1,197
0,206,8,"[84, 154, 283, 298, 392, 555, 761, 931]",False,0,101,206
0,232,16,"[70, 147, 236, 248, 274, 282, 350, 438, 479, 567, 672, 710, 781, 805, 832, 852]",False,0,1,232
0,241,9,"[45, 259, 339, 396, 485, 493, 671, 705, 869]",False,0,1,241
0,250,11,"[33, 140, 172, 251, 330, 371, 521, 619, 640, 702, 796]",False,0,1,250
0,415,6,"[3, 62, 119, 262, 366, 848]",False,0,1,415
0,452,5,"[201, 227, 422, 651, 734]",False,0,59,452
0,516,8,"[34, 228, 245, 296, 437, 654, 691, 845]",False,0,81,516
0,552,10,"[21, 30, 103, 291, 301, 786, 808, 840, 962, 967]",False,0,59,552
0,622,4,"[39, 189, 257, 646]",False,0,1,622
0,631,18,"[17, 56, 94, 205, 250, 272, 273, 295, 354, 477, 554, 557, 594, 645, 664, 678, 751, 762]",False,0,1,631
0,645,10,"[126, 415, 516, 551, 637, 737, 785, 798, 927, 946]",False,0,1,645
0,660,17,"[88, 193, 378, 487, 575, 587, 673, 716, 732, 733, 740, 773, 783, 789, 844, 866, 909]",False,0,1,660
0,662,7,"[66, 116, 276, 323, 638, 676, 854]",False,0,369,662
0,719,9,"[92, 183, 243, 333, 373, 455, 526, 766, 935]",False,0,297,719
0,826,5,"[275, 403, 444, 802, 865]",False,0,1,826
0,946,6,"[105, 289, 307, 315, 572, 767]",False,0,260,946
0,1076,11,"[18, 152, 197, 224, 234, 362, 498, 514, 757, 904, 953]",False,0,1,1076
0,1172,8,"[313, 390, 411, 456, 457, 579, 690, 959]",False,0,57,1172
0,1214,5,"[186, 209, 539, 584, 855]",False,0,14,1214
0,1634,6,"[320, 544, 746, 820, 857, 932]",False,0,1,1634
0,1673,5,"[146, 445, 522, 688, 949]",False,0,1,1673
0,1711,7,"[6, 127, 230, 288, 337, 722, 885]",False,0,1,1711
0,1773,6,"[221, 520, 562, 621, 660, 670]",False,0,81,1773
0,1828,5,"[136, 162, 490, 613, 887]",False,0,1239,1828
0,1874,12,"[51, 207, 229, 233, 260, 303, 304, 306, 463, 519, 727, 902]",False,0,1,1874
0,2189,6,"[327, 416, 458, 511, 662, 835]",False,0,330,2189
0,2201,7,"[111, 156, 593, 689, 897, 944, 956]",False,0,369,2201
0,2213,9,"[212, 464, 495, 578, 629, 715, 768, 951, 965]",False,0,1,2213
0,2419,5,"[169, 185, 515, 517, 833]",False,0,2199,2419
0,2599,6,"[68, 90, 426, 913, 929, 952]",False,0,1,2599
0,2785,9,"[60, 365, 401, 466, 700, 711, 728, 760, 899]",False,0,101,2785
0,2837,6,"[78, 150, 369, 598, 724, 846]",False,0,322,2837
0,2838,13,"[101, 142, 211, 363, 470, 545, 588, 631, 683, 712, 803, 861, 870]",False,0,862,2838
